trip_day,hour_of_day,trips,avg_duration
Monday,0,191,547.66
Monday,1,92,618.533
Monday,2,58,587.983
Monday,3,50,544.14
Monday,4,106,636.066
Monday,5,388,514.66
Monday,6,1461,547.637
Monday,7,2707,634.769
Monday,8,3763,645.078
Monday,9,2128,590.708
Monday,10,1702,645.022
Monday,11,2137,683.841
Monday,12,2717,670.188
Monday,13,2602,722.109
Monday,14,2555,711.16
Monday,15,3008,710.325
Monday,16,4638,752.965
Monday,17,6060,777.244
Monday,18,4695,775.416
Monday,19,2893,726.935
Monday,20,1883,656.727
Monday,21,1294,644.964
Monday,22,763,624.747
Monday,23,426,645.075
Tuesday,0,216,588.259
Tuesday,1,92,568.63
Tuesday,2,63,587.714
Tuesday,3,49,776.531
Tuesday,4,115,712.983
Tuesday,5,582,526.139
Tuesday,6,1947,570.125
Tuesday,7,4207,652.894
Tuesday,8,4934,680.202
Tuesday,9,2472,617.929
Tuesday,10,1693,633.575
Tuesday,11,1903,721.642
Tuesday,12,2338,637.03
Tuesday,13,2309,655.779
Tuesday,14,2272,686.384
Tuesday,15,3475,737.677
Tuesday,16,6001,775.032
Tuesday,17,6238,789.017
Tuesday,18,4512,762.383
Tuesday,19,3029,722.672
Tuesday,20,2003,665.237
Tuesday,21,1570,667.397
Tuesday,22,948,634.13
Tuesday,23,479,592.731
Wednesday,0,182,600.088
Wednesday,1,89,644.292
Wednesday,2,45,540.889
Wednesday,3,45,615.311
Wednesday,4,77,619.104
Wednesday,5,385,580.322
Wednesday,6,1357,563.934
Wednesday,7,2689,623.649
Wednesday,8,3121,643.145
Wednesday,9,1728,620.865
Wednesday,10,1231,653.007
Wednesday,11,1417,632.862
Wednesday,12,1548,602.45
Wednesday,13,1485,604.979
Wednesday,14,1586,599.641
Wednesday,15,2119,639.886
Wednesday,16,3473,686.937
Wednesday,17,4358,721.869
Wednesday,18,3199,678.111
Wednesday,19,2092,669.527
Wednesday,20,1440,637.556
Wednesday,21,1041,608.337
Wednesday,22,702,602.144
Wednesday,23,381,627.777
Thursday,0,224,612.67
Thursday,1,63,644.27
Thursday,2,45,473.067
Thursday,3,30,540.4
Thursday,4,56,559
Thursday,5,352,573.196
Thursday,6,1190,567.858
Thursday,7,2451,623.485
Thursday,8,3181,632.903
Thursday,9,1816,603.999
Thursday,10,1178,623.767
Thursday,11,1421,660.893
Thursday,12,1651,590.463
Thursday,13,1628,600.744
Thursday,14,1604,622.471
Thursday,15,2429,650.141
Thursday,16,3703,684.35
Thursday,17,4504,704.983
Thursday,18,3150,669.2
Thursday,19,1817,635.764
Thursday,20,1298,633.941
Thursday,21,1039,616.722
Thursday,22,762,604.751
Thursday,23,422,643.611
Friday,0,248,562.56
Friday,1,137,448.891
Friday,2,64,444.25
Friday,3,59,610.661
Friday,4,71,647.296
Friday,5,326,610.936
Friday,6,1139,570.55
Friday,7,1995,619.087
Friday,8,2327,618.528
Friday,9,1571,584.782
Friday,10,1424,621.098
Friday,11,1662,665.122
Friday,12,1993,646.465
Friday,13,2032,607.705
Friday,14,1794,653.222
Friday,15,2181,652.406
Friday,16,2599,674.78
Friday,17,3077,693.02
Friday,18,2749,711.509
Friday,19,2055,713
Friday,20,1375,651.152
Friday,21,1032,613.022
Friday,22,803,665.394
Friday,23,623,648.356
Saturday,0,461,593.662
Saturday,1,313,573.681
Saturday,2,184,587.435
Saturday,3,95,507.495
Saturday,4,76,678.526
Saturday,5,102,716.49
Saturday,6,348,702.003
Saturday,7,642,686.783
Saturday,8,1204,712.321
Saturday,9,1939,757.863
Saturday,10,2325,782.363
Saturday,11,2622,803.924
Saturday,12,2925,870.791
Saturday,13,3030,853.079
Saturday,14,2925,867.115
Saturday,15,2860,858.902
Saturday,16,2893,886.194
Saturday,17,2829,857.022
Saturday,18,2549,833.443
Saturday,19,2033,782.876
Saturday,20,1327,712.262
Saturday,21,1178,732.707
Saturday,22,1002,712.963
Saturday,23,737,658.662
Sunday,0,582,630.285
Sunday,1,376,623.484
Sunday,2,189,537.439
Sunday,3,99,628.869
Sunday,4,79,678.025
Sunday,5,102,779.48
Sunday,6,216,718.5
Sunday,7,433,748.485
Sunday,8,895,746.615
Sunday,9,1359,726.878
Sunday,10,1992,795.343
Sunday,11,2132,808.844
Sunday,12,2691,855.001
Sunday,13,2674,887.536
Sunday,14,2587,905.963
Sunday,15,2419,922.837
Sunday,16,2455,914.933
Sunday,17,2348,873.256
Sunday,18,2146,826.992
Sunday,19,1683,765.49
Sunday,20,1099,676.838
Sunday,21,760,659.122
Sunday,22,507,736.394
Sunday,23,361,670.402
